id,store_id,store_code,store_name,metadata,is_active,created_at,updated_at,display_start_day,display_end_day,display_duration_days,expected_order_receive_day,resolution,min_items_qty,share_group_id
029a8bd3-f667-4a6a-8c6f-64889b9cfebd,b90e6bc5-8607-40cd-ac87-daf2f8386150,0365,Save a Lot (24821),"{""city"":""Youngstown"",""state"":""OH"",""address"":""653 Gypsy Lane"",""zipcode"":""44505""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
0465623d-6ede-49d8-9e40-48b5cab21710,b90e6bc5-8607-40cd-ac87-daf2f8386150,0525,Save A Lot 30021,"{""city"":""Tampa"",""state"":""FL"",""address"":""5002 East Broadway"",""zipcode"":""33619""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
054166bd-ddfe-4bdc-ae46-ee177b8ad874,b90e6bc5-8607-40cd-ac87-daf2f8386150,0523,Save A Lot 30019,"{""city"":""Lakeland"",""state"":""FL"",""address"":""2021 George Jenkins Blvd"",""zipcode"":""33815""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
0c035ed0-f0cb-4552-be56-d125b7967a54,b90e6bc5-8607-40cd-ac87-daf2f8386150,0363,Save a Lot (24721),"{""city"":""Orwell"",""state"":""OH"",""address"":""23 S Maple St"",""zipcode"":""44076""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,4
0d3f4429-076f-4707-a75b-9c7351a52b7a,b90e6bc5-8607-40cd-ac87-daf2f8386150,0354,Save a Lot (23577),"{""city"":""Ashtabula"",""state"":""OH"",""address"":""822 Lake Ave"",""zipcode"":""44004""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
0d605df2-1b08-498a-aa72-11b2c67a7b04,b90e6bc5-8607-40cd-ac87-daf2f8386150,0507,Save A Lot 30002,"{""city"":""Tampa"",""state"":""FL"",""address"":""7430 Palm River Rd"",""zipcode"":""33619""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
11d2c4e8-c3fa-4d41-98b2-23fb35d08410,b90e6bc5-8607-40cd-ac87-daf2f8386150,0286,Save a Lot (21315),"{""city"":""Valparaiso"",""state"":""IN"",""address"":""392 W US Hwy 6"",""zipcode"":""46385""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,1
16479d91-d322-46ed-a95d-25398400cb1a,b90e6bc5-8607-40cd-ac87-daf2f8386150,0229,Save a lot (60145),"{""city"":""Pennsauken"",""state"":""NJ"",""address"":""3949 Federal Street"",""zipcode"":""08110""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Friday,Thursday,7,Tuesday,1080x1920,24,
1f16e624-7cc3-4f25-bc21-1416411b0a7d,b90e6bc5-8607-40cd-ac87-daf2f8386150,0542,Save A Lot 30040,"{""city"":""North Port"",""state"":""FL"",""address"":""12600 S Tamiami Trail N"",""zipcode"":""34287""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1920x1080,24,2
20ce23c3-f672-4565-8bc1-d1654978a4b8,b90e6bc5-8607-40cd-ac87-daf2f8386150,0539,Save A Lot 30037,"{""city"":""Zephyrhills"",""state"":""FL"",""address"":""36538 State Road 54"",""zipcode"":""33541""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
2c3c8ffd-f403-4523-bb67-169487dbbe55,b90e6bc5-8607-40cd-ac87-daf2f8386150,0340,Save A Lot (61255),"{""city"":""Waterbury"",""state"":""CT"",""address"":""205 Union Street"",""zipcode"":""06706""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,
2e28a650-4cdb-4a20-aafc-26646b295e9e,b90e6bc5-8607-40cd-ac87-daf2f8386150,0530,Save A Lot 30027,"{""city"":""St Petersburg"",""state"":""FL"",""address"":""2804 34th St N"",""zipcode"":""33713""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
35681613-e474-4e5d-966c-3aa5c04e3446,b90e6bc5-8607-40cd-ac87-daf2f8386150,0564,Save a Lot (30094),"{""city"":""Lock Haven"",""state"":""PA"",""address"":""120 E Walnut Street"",""zipcode"":""17745""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Thursday,Wednesday,7,Monday,1080x1920,12,
3696f1bd-a9cf-49e1-abcf-b8f3169a4dbc,b90e6bc5-8607-40cd-ac87-daf2f8386150,0335,Save A Lot (61221),"{""city"":""Springfield"",""state"":""MA"",""address"":""1060 Wilbraham Road"",""zipcode"":""01109""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,
402b1061-1054-49e2-9f3e-170e4a938d64,b90e6bc5-8607-40cd-ac87-daf2f8386150,0331,Save A Lot (61285),"{""city"":""North Randall"",""state"":""OH"",""address"":""21900 Emery Rd"",""zipcode"":""44128""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,
40c3f68c-e58d-4565-bf9d-64e62294ef1b,b90e6bc5-8607-40cd-ac87-daf2f8386150,0560,Save a Lot (21768),"{""city"":""Roanoke"",""state"":""NC"",""address"":""1160 Julian R. Allsbrook Hwy"",""zipcode"":""27870""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,12,4
